Habitat	IJSEM_year	article_doi	16S_rDNA_accession_number	DNA_GC_content_mol	oxygen_preference	mean_length_microns	mean_width_microns	motility	spore_production	Metabolism_assays	Genus_name	species_name	strain_name	pH_optimum_for_growth	pH_range_at_which_growth_occurred	temperature_optimum_for_growth_degC	temperature_range_at_which_growth_occurred_degC	optimal_NaCl_concentration_for_growth_	NaCl_concentration_range_at_which_growth_occurred_	pigment_production	cell_shape	cell_aggregation	article_first_page	culture_collection_codes	Sole_carbon_substrate_use	genome_accession_number	gram_status	If_'other'_was_chosen_above__please_enter_a_habitat_below	The_paper_included_Biolog_results
seawater	2008	10.1099_ijs.0.65685_0	_AY576729	57	aerobic	1.6_2	0.6_0.8	motile__but_unspecified_structure	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Melitea	salexigens	5IX_A01_131	8	06_Oct	30	15_37	42_g_l	7_70_g_l	yes	rod	chain	2479	DSM19753_CIP109757_MOLA225	fructose__glucose__glutamic_acid__maltose__mannose__raffinose__serine__sucrose__trehalose		negative		Yes
soil	2005	10.1099_ijs.0.63423_0	_AY581113	38	aerobic	0.9	0.35	non_motile	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Flavobacterium_	antarcticum_	AT1026T	7	06_Oct	21.2	5_24.1	0	0_4	yes	rod	not_indicated	637	IMSNU14042T_KCTC12222T_JCM12383T	glucose__maltose		negative		No
other	2006	10.1099_ijs.0.63735_0	_AY628423	59.7	aerobic	1.3_2	0.6_0.8	flagella	no	aesculin_hydrolysis__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive__urease_positive	Stappia	marina	mano18	7	7	26_30	26_30	03_Jun	03_Jun	yes	rod	chain	75	KCTC12288_DSM17023	glucose		negative	tidal_flat_sediment	No
other	2006	10.1099_ijs.0.63678_0	_AY667494	43	aerobic	1.3_1.9	0.3_0.5	non_motile	not_indicated	aesculin_hydrolysis__catalase_positive__oxidase_positive	Bacillus	salarius	BH169	8	6.8_9.5	30	15_40	10_Dec	Mar_20	yes	rod	chain	373	KCTC3912_DSM16461	arabinose__fructose__glucose__glycerol__lactose__maltose__mannitol__mannose__melibiose__rhamnose__salicin		positive	saline_lake	No
hotspring	2006	10.1099_ijs.0.63961_0	_AY673988	49.5	anaerobic	01_Jun	0.5	motile__but_unspecified_structure	yes		Carboxydocella	sporoproducens	Kar	06_Aug	06_Aug	60	50_70	0	0	yes	rod	chain	797	DSM16521_VKMB_2358			positive		No
other	2005	10.1099_ijs.0.63411_0	_AY676463	44	aerobic	1.25	0.45		no	catalase_positive__oxidase_positive	Hahella	ganghwensis	FR1050T	7.5	05_Oct	35	15_40	5	01_Oct		rod	not_indicated	681	KCTC12277T_JCM12486T	malate__N_acetylgulcosamine		negative	tidal_flat_sediment_	No
other	2006	10.1099_ijs.0.63686_0	_AY682207	53.9_54.3	anaerobic	3.6_7.3	0.9_1	motile__but_unspecified_structure	yes	aesculin_hydrolysis	Sporacetigenium	mesophilum	ZLJ115	6.5_7	5_9.5	37	20_42	0	0	yes	rod	chain	721	DSM16796_AS1.5019	arabinose__fructose__galactose__rhamnose__ribose__xylose		positive	sludge_of_anaerobic_digester_treating_municipal_solid_waste_and_sewage	No
seawater	2005	10.1099_ijs.0.63492_0	_AY739663	40.3	aerobic	3	0.25	gliding	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Marinicola	seohaensis	SW_152T	7.5	5.5_8.0	30	Apr_40	2.5	<9	yes	rod		859	KCTC12312T_JCM12600T	Tween_20__Tween_40__Tween_60__Tween_80		negative		No
other	2006	10.1099_ijs.0.64009_0	_AY769997		facultative_anaerobe		03_0.7	non_motile	no		Streptococcus	massiliensis	4401825	7	7	37	25_37	2	2	yes	cocci	chain	1127	CIP108498_CCUG49690	maltose		positive	human_blood_sample	No
soil	2008	10.1099_ijs.0.65733_0	_AY829448	37.9	facultative_anaerobe	2.4_3	0.4_0.5	flagella	yes	aesculin_hydrolysis__catalase_positive__oxidase_positive	Bacillus	alkalitelluris	BA288	9_9.5	07_Nov	30	15_40	0_1	0_4	yes	rod	chain	2629	KCTC3947_DSM16976	acetate__citric_acide_citrate__formic_acid__glutamic_acid__malate__succinic_acid_succinate__xylose		positive		No
other	2008	10.1099_ijs.0.2008_000067_0	_AY864633	48.5	aerobic	1.5	1.15	motile__but_unspecified_structure	no	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__gelatinase__oxidase_positive	Exiguobacterium	soli	DVS_3Y	7	06_Oct	25	2.5_30	0_5.8	0_5.8	yes	cocci	chain	2447	MTCC4816_JCM14376	5_ketoguconate__alanine__alanine__arabinose__arginine__asparagine__cellobiose__dextrin__fructose__galactose__glucose__glutamic_acid__glycine__glycogen__histidine__lactate__lactose__leucine__maltose__mannose__melibiose__ornithine__proline__pyruvic_acid_pyruvate__raffinose__rhamnose__ribose__sorbitol__sucrose__trehalose__xylose		positive	moraine_sample	No
seawater	2006	10.1099_ijs.0.64132_0	_AY894336	65.4	aerobic			non_motile	yes		Williamsia	marianensis	MT8	7	7	28	Apr_30	05_Jul	05_Jul	yes	ovoid_coccobacillus	chain	1123	DSM44944_NCIMB14085	arabinose__fructose__mannitol__mannose__rhamnose__sorbitol__sucrose__trehalose__xylitol		positive		No
soil	2006	10.1099_ijs.0.64007_0	_AY941086		aerobic			non_motile	no	oxidase_positive	Deinococcus	ficus	CC_FR2_10	7	5.5_10	37	Oct_40	0	0	yes	rod	chain	787	CCUG53391_CIP108832	acetate__arabinose__dextrin__fructose__fucose__galactose__gluconic_acid__glucose__lactate__lactose__malate__maltose__mannitol__mannose__melibiose__N_acetylgulcosamine__propionic_acid_propionate__pyruvic_acid_pyruvate__pyruvic_acid_methyl_ester__raffinose__rhamnose__ribose__serine__sorbitol__succinic_acid_succinate__sucrose__trehalose__xylose		positive		Yes
other	2006	10.1099_ijs.0.63881_0	_DQ000196	72.5	aerobic			not_indicated	yes	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive__urease_positive	Amycolatopsis	halotolerans	N4_6	7	7	Oct_37	Oct_37	7	7	yes	rod	chain	549	NRRLB_24428_JCM13279	adonitol__cellobiose__fructose__galactose__glycerol__mannitol__mannose__melibiose__ribose__sucrose__xylose		positive	natural_cave	No
seawater	2006	10.1099_ijs.0.63847_0	_DQ017065	36.9	aerobic	Jan_30	0.4_0.6	non_motile	no	aesculin_hydrolysis	Donghaeana	dokdonensis	DSW_6	07_Aug	5.5_8	25	Apr_32	2	02_Aug	yes	rod	chain	187	KCTC12402_DSM17205	Tween_20__Tween_40		negative		No
other	2008	10.1099_ijs.0.64082_0	_DQ017708	68.3	aerobic	2.5_3		not_indicated	no	aesculin_hydrolysis__catalase_positive__oxidase_positive	Deinococcus	aquaticus	PB314	7	6_9.5	30	20_37	0_3	0_3	yes	rod	chain	2348	KCTC12552_NBRC101311	glucose__glycogen__maltose__N_acetylgulcosamine__proline__sucrose		negative	activated_sludge	No
other	2006	10.1099_ijs.0.64180_0	_DQ017835	60.5	aerobic		0.8_1.2	non_motile	no	catalase_positive	Halococcus	hamlinensis	100A6	7	04_Sep	37	37	15	12.5_30	yes	cocci	chain	1323	JCM12892_ACM5227	glucose__glycerol__maltose__sucrose__trehalose__xylose		negative	stromatolites	No
soil	2006	10.1099_ijs.0.63876_0	_DQ059617	73	aerobic			non_motile	no	catalase_positive	Kocuria	aegyptia	YIM_70003	10_10.5	05_Dec	28	20_40	3	01_May	yes	cocci	chain	733	CCTCCAA203006_CIP107966_KCTC19010_DSM17006	cellobiose__dextrin__fructose__glucose__maltose__mannose__sorbitol__trehalose		positive		No
other	2006	10.1099_ijs.0.63908_0	_DQ064789	41	aerobic	2.5		gliding	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__oxidase_positive	Stenothermobacter_	spongiae	_UST030701_156	7	06_Oct	28_30	20_36	02_Jun	02_Jun	no	rod	chain	181	NRRLB_41138_JCM13191	arabinose__galactose__glucose__glycerol__mannitol__melibiose__sorbitol__sucrose		negative	marine_sponge	No
other	2008	10.1099_ijs.0.65462_0	_DQ097300	67.1	aerobic		0.5_3	non_motile	no		Amorphus	coralli	RS.Sph.026	7.5_8	7.5_8	25_30	25_30	03_Apr	03_Apr	yes	rod	chain	2704	LMG24307_DSM19760	arabinose__glucose__histidine__maltose__mannitol__mannose__ornithine__propionic_acid_propionate__sorbitol__succinic_acid_succinate		negative	mucus_of_coral	No
seawater	2006	10.1099_ijs.0.64272_0	_DQ118426	61.9	aerobic	1.5_3	0.6	motile__but_unspecified_structure	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Halorubrum	ezzemoulense	5.1	7_7.5	6.5_9	37_40	22_50	20	15_25	yes	ovoid_coccobacillus	chain	1583	CECT7099_DSM17463	acetate__arabinose__citric_acide_citrate__glucose__glycerol__malate__maltose__mannitol__sucrose		negative		No
soil	2006	10.1099_ijs.0.64092_0	_DQ178979	49	aerobic	0.8_2.5	0.4_0.6	non_motile	no	aesculin_hydrolysis	Algoriphagus	terrigena	DS_44	6.5_7.5	5.5_7.5	25	Oct_36	2	02_Jun	yes	rod	chain	777	KCTC12545_CIP108837	cellobiose__fructose__galactose__maltose__salicin__sucrose__trehalose__xylose		negative		No
other	2008	10.1099_ijs.0.65697_0	_DQ191183	59.5	aerobic	1_2.8	0.3_0.5	non_motile	no	catalase_positive__gelatinase	Croceitalea	eckloniae	DOKDO_025	8	6.5_10	29	Oct_34	1.6	0.4_5.4	yes	rod	chain	2505	KCCM42309_JCM13827	cellobiose__fructose__galactose__glucose__glycogen__maltose__mannose__melibiose__N_acetylgulcosamine__ribose__sucrose__trehalose		negative	rhizosphere_of_brown_alga	Yes
soil	2007	10.1099_ijs.0.64749_0	_DQ203185	72.9	facultative_aerobe	1.7	0.75	non_motile	no	aesculin_hydrolysis__catalase_positive__oxidase_positive	Georgenia	ruanii	YIM_004T_	7	6.5_10	29	Oct_37	2.5	0.0_5.0		rod		1424	CCTCCAB204065T_DSM17458T_KCTC19029T	adonitol__arabinose__arabitol__cellobiose__dextrin__fructose__galactose__galcturonic_acid__glucose__lactose__maltose__mannitol__mannose__melibiose__N_acetylgulcosamine__raffinose__rhamnose__ribose__salicin__sorbitol__sucrose__Tween_20__Tween_80__xylitol__xylose		positive		No
other	2007	10.1099_ijs.0.64476_0	_DQ235687		aerobic			non_motile	yes	catalase_positive__urease_positive	Nocardia	ninae	OFN_02.72T			31	25_37			yes	not_indicated	not_indicated		CIP108955T_DSM44978T	arabinose__galactose__glucose__maltose	DQ250023	positive	human_respiratory_sample	No
hotspring	2006	10.1099_ijs.0.64193_0	_DQ295805	64.9	aerobic	01_Feb	0.5_1	flagella	no	aesculin_hydrolysis__catalase_positive__oxidase_positive__urease_positive	Tepidicella	xavieri	TU_16	8.5_9	6.5_10.5	45	25_55	0_2	0_2	yes	rod	chain	907	LMG23030_CIP108724	aspartic_acid_aspartate__citric_acide_citrate__histidine__leucine__malate__phenylalanine__serine__tryptophan		negative		No
freshwater_river__lake__pond	2007	10.1099_ijs.0.64927_0	_DQ298025	49.9	aerobic	1.7	0.5	flagella	not_indicated	acid_phosphatase__alkaline_phosphatase__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Rheinheimera	chironomi	K19414T			33.5	Apr_40	0.75	0_2	no	rod	clump	1872	LMG23818T_DSM18694T	alanine__alanine__galactose__glucose__malate__maltose__N_acetylgulcosamine__pyruvic_acid_methyl_ester__succinic_acid_succinate__sucrose__Tween_40__Tween_80		negative		Yes
freshwater_river__lake__pond	2007	10.1099_ijs.0.64541_0	_DQ364433		aerobic	0.85	0.45	non_motile	not_indicated	catalase_positive__oxidase_positive	Methylocystis	hirsuta	CSC1T	7	5.0_8.0	30	<37					clump	1891	ATCCBAA_1344T_DSM18500T	asparagine__aspartic_acid_aspartate__ornithine__putrescine		negative		No
seawater	2009	10.1099_ijs.0.002774_0	_DQ401091	66.3	aerobic	1.85	0.75	flagella	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__nitrate_reduction_to_nitrite	Pelagibius	litoralis	CL_UU02T	7.5	06_Nov	29	15_33	3.5	02_Jun		rod	clump	818	KCCM42323T_JCM15426T	arabinose__galactose__glucose__mannitol__mannose__pyruvic_acid_pyruvate__succinic_acid_succinate__xylose		negative		No
seawater	2007	10.1099_ijs.0.64649_0	_DQ401093	72.9	aerobic	1_1.8	0.4_0.6	non_motile	no	catalase_positive	Nocardioides	marinus	CL_DD14T_	07_Aug	06_Sep	25_30	Oct_40	01_Mar	0.5_8	yes	rod	not_indicated	775	KCCM42321T_DSM18248T	asparagine__rhamnose		positive		No
freshwater_river__lake__pond	2007	10.1099_ijs.0.64872_0	_DQ453131	49.2	facultative_anaerobe	2.0_12.4	0.8_1.0	motile__but_unspecified_structure	yes	aesculin_hydrolysis__catalase_positive__H2S_production__urease_positive	Paenibacillus	_fonticola	ZLT	8.5	07_Oct	32.5	20_45			NA	rod	not_indicated	1346	BCRC17579T_LMG23577T	arabinose__cellobiose__citric_acide_citrate__dextrin__glucose__mannitol__melibiose__rhamnose__sorbitol__sucrose__trehalose__Tween_80		variable		Yes
other	2007	10.1099_ijs.0.64677_0	_DQ680836	45.6	aerobic			non_motile	no	catalase_positive__oxidase_positive	Parapedobacter	koreensis	Jip14T			37	Apr_42	3.5	03_Apr	yes	rod	not_indicated	1336	KCTC12643T_LMG23493T	fucose__glucose__maltose__mannitol__mannose__N_acetylgulcosamine__ribose__salicin__serine__sorbitol__sucrose		negative	dried_rice_straw	No
other	2010	10.1099_ijs.0.011759_0	_DQ852338	41	anaerobic	0.6_2	0.5_0.8	non_motile	no	aesculin_hydrolysis	Proteiniclasticum	ruminis	D3RC_2	7_7.3	5.6_8.7	38_39	24_46	0	0	no	rod	chain	2221	AS1.5057_JCM14817	histidine__leucine__phenylalanine__serine__threonine		negative	yak_rumen	No
soil	2007	10.1099_ijs.0.65028_0	_EF012357.	66.2		0.5_2.0	0.3_0.5	flagella		urease_positive	Devosia	insulae	DS_56T	7	6.5_7.5	25	Oct_31	0.5	0_2	yes	rod	not_indicated	1310	KCTC12821T_DSM17955T			negative		No
wastewater	2007	10.1099_ijs.0.64936_0	_EF076759	36.8	aerobic	0.8_5.0	0.4_0.6	non_motile	no	catalase_positive__oxidase_positive	Chryseobacterium	daeguense	_K105T_	6.5_7.5	5_9.5	30_37	Oct_41	0_1	0_2	yes	rod	not_indicated	1355	KCTC12841T_JCM14362T	arabinose__cellobiose__fructose__glucose__maltose__rhamnose__trehalose__xylose		negative		No
other	2007	10.1099_ijs.0.64910_0	_EF100694	70	anaerobic	0.7_7.0	0.5_0.7	flagella	no	nitrate_reduction_to_nitrite	Caenispirillum	bisanense	K92T_	07_Aug	6.5_10	37	15_47	2.75	0.5_5.0	yes	spirillum_corkscrew	not_indicated	1217	KCTC12839T_JCM14346T	citric_acide_citrate__gluconic_acid__glycerol__malate__ribose		negative	sludge	No
soil	2008	10.1099_ijs.0.65765_0	_EF114314	77	aerobic			non_motile	yes	catalase_positive__urease_positive	Pseudonocardia	carboxydivorans	Y8	7	7	25	Mar_37	0_4	0_4	yes	rod	chain	2475	KCCM42678_JCM14827	N_acetylgulcosamine		positive		No
wastewater	2011	10.1099_ijs.0.022228_0	_EF125187	60.9	aerobic			flagella	no		Rhizobium	borbori	DN316T	6.9	5.0_9.0	28	4.0_37	0.25	0.0_0.5		rod		816	CICC10378T_5LMG23925T	acetate__arabinose__arabitol__cellobiose__fructose__fucose__galactose__glucose__maltose__mannitol__mannose__propionic_acid_propionate__sorbitol__sucrose__trehalose		negative		No
seawater	2008	10.1099_ijs.0.65820_0	_EF192392	47	aerobic	1.2_1.8	0.5_0.9	non_motile	no	catalase_positive__oxidase_positive	Pelagicola	litoralis	CL_ES2	7	06_Aug	25	20_30	03_Apr	02_Jun	yes	cocci	chain	2102	KCCM42274_DSM18290	acetate__glucose__proline__serine__Tween_80		negative		No
hotspring	2010	10.1099_ijs.0.012328_0	_EF195126	34.2	anaerobic	2.5	0.4	not_indicated	yes	H2S_production	Caldanaerobacter	uzonensis	K67	6.8	4.8_8	69	50_75	0.5	0_2	NA	rod	not_indicated	1372	DSM_18923_VKM_B_2408	arabinose__mannose__sucrose__xylose		NA		No
seawater	2012	10.1099_ijs.0.030106_0	_EF217418	48.5	aerobic	0.5_3.0	0.3_0.5	non_motile	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__gelatinase__oxidase_positive	Algoriphagus	jejuensis	CNU040	Not_indicated	5.5_10.0	25	4_30_2014	Not_indicated	0_5	yes	rod	not_indicated	409	KCTC_22647_JCM_16112	malate__Tween_20__Tween_40__Tween_60__Tween_80		negative		No
other	2009	10.1099_ijs.0.005447_0	_EF433461		aerobic			flagella	no	aesculin_hydrolysis__oxidase_positive__urease_positive	Devosia	crocina	IPL20T	7	05_Sep	18.5	May_32		<3	yes	ovoid_coccobacillus	not_indicated	795	CCM7425T_MTCC8590T	arabinose__fructose__galactose__lactose__maltose__mannitol__mannose__xylose		negative	dump_site	No
other	2010	10.1099_ijs.0.003152_0	_EF457243_	63.1	aerobic	0.7_2	0.5_1	non_motile		catalase_positive__oxidase_positive	Chelativorans	Chelativorans_multitrophicus	DSM_9103	6.5_7.5		25_35				NA	rod	not_indicated	1044	VKMB_2394	acetate__glucose__glutamic_acid__lactate__succinic_acid_succinate		negative	industrial_wastewater_treatment_plants	No
soil	2010	10.1099_ijs.0.019059_0	_EF466117	68.7	aerobic	0.9_1.4	0.3_0.8	motile__but_unspecified_structure	no	acid_phosphatase__alkaline_phosphatase__catalase_positive	Nocardioides	mesophilus	MSL_22	7_7.5		28	20_37	0	0	yes	rod	chain	2288	DSM19432_KCTC19310	mannitol__raffinose		positive		No
soil	2008	10.1099_ijs.0.2008_001222_0	_EF466125	71	aerobic	0.5_0.8	0.4_0.6	non_motile	not_indicated	aesculin_hydrolysis__H2S_production__nitrate_reduction_to_nitrite	Microbacterium	kribbense	MSL_04	7.2_7.4	07_Nov	28	20_37	0_3	0_3	yes	rod	chain	2536	KCTC19269_DSM19265	arabinose__galactose__glucose__maltose__mannitol__mannose__melibiose__raffinose__rhamnose__sucrose__trehalose		positive		No
soil	2008	10.1099_ijs.0.65637_0	_EF466126	67.5	aerobic			motile__but_unspecified_structure	no	catalase_positive	Frigoribacterium	mesophilum	MSL_08	7.3	6.5_12	28	20_28	0_3	0_3	yes	rod	chain	1869	DSM19442_KCTC19311	arabinose__cellobiose__galactose__glucose__maltose__mannitol__mannose__salicin__sucrose__trehalose__xylose		positive		No
soil	2008	10.1099_ijs.0.65563_0	_EF466128	73.4	aerobic		0.4_0.5	non_motile	no	nitrate_reduction_to_nitrite	Phycicoccus	bigeumensis	MSL_03	7.4	07_Dec	28	20_37	0_5	0_5	yes	cocci	chain	2425	KCTC19266_DSM19264	arabinose__cellobiose__fructose__glucose__lactose__mannitol__mannose__melibiose__raffinose__rhamnose__trehalose		positive		No
other	2008	10.1099_ijs.0.65202_0	_EF493847	70.5	aerobic	1.1_1.5	0.8_0.9	not_indicated	no	aesculin_hydrolysis	Phycicoccus	aerophilus	5516T_20	06_Jul	05_Sep	30	May_37	0_7	0_7	yes	rod	chain	2389	KACC20658_DSM18548	3_hydroxybutyrate__fucose__glucose__glycogen__malate__mannitol__mannose__melibiose__N_acetylgulcosamine__propionic_acid_propionate__salicin__sucrose		positive	air_sample	No
other	2008	10.1099_ijs.0.2008_000729_0	_EF527873	65.5	aerobic	04_Jun	0.8_1.2	motile__but_unspecified_structure	no	catalase_positive__H2S_production__oxidase_positive__urease_positive	Halomonas	salifodinae	BC7	7	06_Sep	30	Apr_48	3	0.5_20	yes	rod	chain	2855	CGMCC1.6774_JCM14803	adonitol__alanine__alanine__arginine__aspartic_acid_aspartate__citric_acide_citrate__fructose__gluconic_acid__glucose__glutamic_acid__glycerol__histidine__lactate__malate__maltose__mannitol__ornithine__propionic_acid_propionate__pyruvic_acid_pyruvate__ribose__serine__sorbitol__succinic_acid_succinate__sucrose__trehalose		negative	salt_mine	No
other	2010	10.1099_ijs.0.008995_0	_EF530202	66.9	aerobic	1.4	0.4	flagella	no	catalase_positive__nitrate_reduction_to_nitrite	Sphingomonas_	Sphingomonas_histidinilytica	UM2	7.5		28	Apr_40	01_02_14		yes	not_indicated	not_indicated	1038	MTCC9473_CCM7545	histidine__melibiose__ornithine__proline__serine__tryptophan__xylose		negative	hexachlorocyclohexane_dump_site	No
hotspring	2010	10.1099_ijs.0.019042_0	_EF552404	37	anaerobic		01_Mar	non_motile	not_indicated		Fervidicoccus	fontis	Kam940	5.5_6	4.5_7	65_70	55_85	0	0	no	cocci	not_indicated	2082	DSM19380_VKMB_2539	gelatin__pyruvic_acid_pyruvate__rhamnose__sucrose		NA		No
hotspring	2008	10.1099_ijs.0.2008_000182_0	_EF554597	56.2	anaerobic	03_Jun	0.6_0.7	flagella	yes	H2S_production	Ammonifex	thiophilus	SR	6.8_7	6_7.5	75	60_82	0	0	yes	rod	chain	2935	DSM19636_VKMB_2461	formic_acid		positive		No
soil	2008	10.1099_ijs.0.65608_0	_EF581819	50.6_51.6	facultative_anaerobe	01_Apr	0.5	flagella	yes		Sporolactobacillus	vineae	SL153	06_Jul	04_Sep	37	25_40	0_7	0_7	yes	rod	chain	2316	KCTC5376_JCM14637	fructose__glucose__mannitol__mannose__N_acetylgulcosamine__sorbitol		positive	vineyard_soil	No
soil	2008	10.1099_ijs.0.65295_0	_EF591302	39.9	aerobic	2.25	0.7	non_motile	not_indicated	catalase_positive__oxidase_positive	Chryseobacterium	soli	JS6_6	6.5	05_Sep	29	May_30		0_3	yes	rod	not_indicated	470	KACC_12502_DSM_19298	glycogen__sucrose		negative		No
other	2008	10.1099_ijs.0.65351_0	_EF601571	49	facultative_anaerobe	3	0.95	flagella	not_indicated	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Lentibacillus	salinarum	AHS_1	6.75	06_Jul	38.5	15_45	11	0_24	yes	rod	not_indicated	45	KCTC_13162_CCUG_54822	galactose__glucose__ribose		positive	Marine_solar_saltern	No
other	2008	10.1099_ijs.0.2008_000455_0	_EF623999	66.8	aerobic	01_Feb	0.4_0.6	not_indicated	no	aesculin_hydrolysis__catalase_positive	Microbacterium	profundi	Shh49	07_Aug	6_9.5	28	Apr_35	0_1	0_7.5	yes	rod	chain	2930	CGMCC1.6777_JCM14840	acetate__arabinose__arginine__aspartic_acid_aspartate__cellobiose__fructose__galactose__glucose__glycerol__lactate__lactose__malate__maltose__mannitol__mannose__propionic_acid_propionate__pyruvic_acid_pyruvate__raffinose__rhamnose__ribose__salicin__serine__succinic_acid_succinate__sucrose__trehalose__xylose		positive	deep_sea_sediment_sample	No
other	2008	10.1099_ijs.0.65618_0	_EF680886	65.5	aerobic	1.2_1.4	0.6_0.8	non_motile	no	catalase_positive	Nesterenkonia	flava	CAAS_251	09_Oct	08_Dec	40_42	Oct_50	0	0_10	yes	rod	chain	1927	CCTCCAB207010_JCM14814	arabinose__fructose__glucose__maltose__mannose__sucrose		positive	paper_mill_effluent	No
other	2008	10.1099_ijs.0.65527_0	_EF694028		facultative_anaerobe			non_motile	no	aesculin_hydrolysis	Lactococcus	chungangensis	CAU_28	7	7	30	Apr_30	0	0	yes	ovoid_coccobacillus	chain	1844	KCTC13185_CCUG55099	fructose__glucose__maltose__mannitol__mannose__N_acetylgulcosamine__sucrose		positive	activated_sludge_foam	No
other	2010	10.1099_ijs.0.015305_0	_EU004198	45.5	aerobic	2.5_25	0.3_0.9	non_motile	not_indicated	catalase_positive	Rhodocytophaga_	aerolata	5416T_29	7	07_Aug	30	Oct_35			yes	rod	chain	1554	KACC12507_DSM22190	glucose__maltose__mannose__melibiose__rhamnose__salicin__sucrose		negative	air	No
other	2008	10.1099_ijs.0.65478_0	_EU009865	61	facultative_anaerobe	01_Feb	1	non_motile	yes	aesculin_hydrolysis__catalase_positive__urease_positive	Devriesea	agamarum	IMP2	7	7	25_30	25_42	0	0	yes	rod	chain	2206	LMG24257_CCUG55056	fructose__galactose__glucose__maltose__mannose__melibiose__N_acetylgulcosamine__raffinose__sucrose__trehalose		positive	skin_and_organ_lesions_of_different_lizard_species	No
other	2008	10.1099_ijs.0.65499_0	_EU014873	57.8	facultative_anaerobe	03_Apr	0.8_1	flagella	yes	aesculin_hydrolysis__catalase_positive__nitrate_reduction_to_nitrite	Saccharibacillus	sacchari	GR21	7	5.7_7	28	Aug_40	0	0	yes	rod	chain	1850	LMG24085_DSM19268	gluconic_acid__glucose__maltose__mannitol__mannose		variable	apoplastic_fluid_of_sugar_cane	No
